temer;deputados;politicos;aborto;regiao;escolaridade;sexo;idade;freqmissa;impreligiao;renda;protest;policiaprop;publiprop;propina;miliprop;assassinato;confjust;confinst;confsistema;orgulhosist;apoio;orgulhobra;confexercito;confcongresso;confmilitar;confpartido;confpresidente;confcomunic;confeleicao
Neither Good nor Bad (Fair);Very poorly;More than half of them;Nao;Região Nordeste;0;Male;54;Once a week;Very Important;2;Yes, I have participated;No;No;No;No;No;3;5;4;5;4;6;6;4;3;4;3;4;5
Good;Well;Half of them;Sim;Região Sul;5;Female;35;Once a week;Very Important;2;Yes, I have participated;No;No;No;No;No;7;6;3;5;7;7;7;5;7;4;7;7;2
Very Bad;Very poorly;More than half of them;Sim;Região Centro-Oeste;8;Female;35;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;4;5;3;1;1;5;7;6;6;1;1;5;4
Bad;Neither well nor poorly;Half of them;Sim;Região Nordeste;9;Female;50;Once a month;Very Important;2;Yes, I have participated;No;No;No;No;No;3;6;4;7;2;7;4;2;4;3;4;5;4
Good;Very poorly;All;Sim;Região Norte;1;Male;32;Never or almost never;Very Important;2;No, I have not participated;Yes;No;No;Yes;No;1;2;5;3;4;7;1;2;1;4;2;2;4
NA;NA;NA;Nao;Região Nordeste;4;Female;43;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;3;3;1;2;3;7;NA;NA;4;2;1;4;3
Very Bad;Poorly;All;Sim;Região Nordeste;10;Female;27;Once or twice a year;Very Important;11;No, I have not participated;No;No;Yes;No;Yes;1;1;1;1;4;7;5;1;3;1;1;7;5
Good;Neither well nor poorly;All;Nao;Região Nordeste;11;Female;42;More than once a week;Very Important;4;NA;No;No;No;No;No;2;1;3;3;2;6;5;5;3;1;1;5;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Nordeste;5;Male;28;Once or twice a year;Very Important;3;Yes, I have participated;No;No;No;No;No;3;7;2;1;5;7;7;4;3;1;1;1;1
Very Bad;Very poorly;All;Sim;Região Nordeste;8;Male;36;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;3;5;2;1;4;2;6;1;4;1;1;6;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Norte;8;Female;40;Once a week;Very Important;6;No, I have not participated;No;No;No;No;No;5;6;5;4;4;6;6;3;7;4;5;7;5
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Centro-Oeste;9;Male;27;Never or almost never;Not Very Important;4;No, I have not participated;No;No;Yes;No;Yes;1;4;1;1;1;6;6;1;1;1;1;6;1
Very Bad;Very poorly;More than half of them;Sim;Região Norte;0;Male;59;Never or almost never;Very Important;5;No, I have not participated;Yes;Yes;No;No;Yes;1;4;1;1;1;7;5;1;2;1;1;3;1
Very Bad;Poorly;Less than half of them;Nao;Região Nordeste;2;Female;54;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;2;1;2;1;1;5;6;1;2;1;1;1;1
Good;Well;All;Sim;Região Centro-Oeste;5;Female;43;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;4;6;7;7;7;7;7;6;7;6;7;7;NA
Bad;Very poorly;All;Sim;Região Nordeste;11;Female;36;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;No;1;1;3;1;1;3;7;2;3;1;1;7;1
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Centro-Oeste;4;Male;76;Never or almost never;Very Important;8;No, I have not participated;No;No;No;No;Yes;4;3;2;3;3;1;1;4;3;6;6;3;6
Very Bad;Very poorly;All;Sim;Região Nordeste;10;Female;17;Once a week;Very Important;2;Yes, I have participated;No;No;No;No;No;1;7;1;1;1;3;4;1;3;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;2;Female;54;Once a week;Very Important;4;No, I have not participated;No;No;Yes;No;No;1;1;1;1;2;7;4;1;7;1;1;4;1
Good;Poorly;Half of them;Nao;Região Sul;2;Male;78;Once or twice a year;Very Important;4;No, I have not participated;No;No;No;No;No;4;6;2;3;1;6;5;3;4;1;7;7;1
Bad;Poorly;All;Nao;Região Sudeste;1;Male;63;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;1;5;7;2;1;1;7;6;3;7;4;1;7
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Nao;Região Sul;3;Female;61;Once a month;Very Important;3;No, I have not participated;No;No;NA;No;No;6;5;4;7;7;7;6;4;5;4;7;4;6
Good;Neither well nor poorly;More than half of them;Nao;Região Sudeste;8;Male;16;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;7;7;7;7;7;7;7;7;7;7;7;7;NA
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;7;Female;29;Once or twice a year;Very Important;2;Yes, I have participated;No;Yes;No;No;Yes;4;5;3;1;6;7;6;4;3;1;5;4;3
Good;Very Well;More than half of them;Nao;Região Norte;4;Male;39;More than once a week;Very Important;7;No, I have not participated;No;Yes;Yes;No;No;5;7;4;7;7;7;7;6;3;3;7;7;7
NA;Well;Half of them;Sim;Região Centro-Oeste;6;Female;53;Once a week;Very Important;NA;No, I have not participated;No;No;NA;No;No;3;2;3;6;4;7;NA;1;3;2;5;1;1
Very Good;Neither well nor poorly;All;Sim;Região Centro-Oeste;5;Female;23;Once or twice a year;Not Important at All;2;No, I have not participated;No;No;No;No;Yes;1;2;3;7;4;7;1;2;1;2;1;1;2
Very Bad;Very poorly;More than half of them;Nao;Região Sudeste;10;Female;17;More than once a week;Very Important;3;No, I have not participated;Yes;No;No;No;No;1;6;2;2;3;5;7;6;7;1;1;3;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;4;Male;64;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;5;5;4;2;2;7;7;3;4;1;2;7;4
Very Bad;Neither well nor poorly;All;Nao;Região Nordeste;11;Female;16;Once a month;Somewhat Important;6;No, I have not participated;No;No;No;No;Yes;4;5;2;3;2;1;2;3;3;1;2;2;1
Bad;Poorly;More than half of them;Nao;Região Sudeste;8;Male;42;More than once a week;Very Important;9;No, I have not participated;No;No;No;No;No;7;5;1;1;1;3;5;2;4;2;1;4;1
Neither Good nor Bad (Fair);Poorly;Half of them;Sim;Região Nordeste;11;Male;19;Once a month;Very Important;2;No, I have not participated;No;No;No;No;Yes;4;4;4;3;3;6;6;3;5;2;2;3;3
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;9;Female;29;Never or almost never;Very Important;4;No, I have not participated;No;No;No;No;Yes;2;5;3;3;4;7;3;3;4;2;1;5;6
Bad;Poorly;All;Sim;Região Nordeste;7;Male;36;Once or twice a year;Very Important;5;No, I have not participated;No;No;No;No;No;1;7;1;1;2;7;3;1;7;1;1;7;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Female;42;Once a week;Very Important;4;No, I have not participated;No;No;No;No;No;4;2;1;2;3;6;5;4;6;3;2;3;3
Neither Good nor Bad (Fair);Poorly;Less than half of them;Sim;Região Norte;8;Male;55;More than once a week;Very Important;17;No, I have not participated;No;No;No;No;No;5;2;2;3;6;7;7;7;5;1;2;1;4
Very Bad;Neither well nor poorly;All;Sim;Região Sudeste;11;Female;49;Never or almost never;Very Important;5;No, I have not participated;No;No;Yes;No;Yes;1;2;3;3;1;7;6;2;1;1;1;3;1
Neither Good nor Bad (Fair);Well;More than half of them;Nao;Região Norte;6;Male;51;Once a month;Very Important;5;No, I have not participated;No;No;No;No;Yes;7;4;7;7;5;7;7;5;1;6;7;7;1
Good;Well;Half of them;Nao;Região Sul;5;Male;56;Once or twice a year;Somewhat Important;11;No, I have not participated;No;No;No;No;No;5;7;5;4;4;7;7;4;6;4;4;6;5
Neither Good nor Bad (Fair);Poorly;All;Nao;Região Nordeste;1;Female;55;More than once a week;Very Important;9;No, I have not participated;No;No;No;No;No;3;1;2;1;3;7;7;4;7;1;1;3;2
Bad;Poorly;All;Sim;Região Norte;8;Female;68;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;6;3;1;3;7;7;6;7;2;4;NA;NA
Neither Good nor Bad (Fair);Very poorly;Half of them;Sim;Região Norte;11;Female;33;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;3;4;2;1;5;4;1;2;1;2;3;1
Very Bad;Very poorly;Less than half of them;Sim;Região Norte;11;Female;48;More than once a week;Very Important;5;No, I have not participated;No;No;Yes;No;No;2;2;2;2;2;2;4;2;1;1;1;4;2
Good;Poorly;All;Nao;Região Norte;9;Male;16;Once or twice a year;Very Important;4;No, I have not participated;No;No;No;No;Yes;3;7;3;1;2;7;7;5;5;2;1;5;4
Bad;Very poorly;All;Nao;Região Nordeste;1;Female;42;Once or twice a year;Very Important;4;No, I have not participated;No;No;Yes;No;No;1;3;4;1;3;1;5;4;2;1;3;3;4
Very Bad;Very poorly;All;Sim;Região Norte;8;Female;45;More than once a week;Very Important;10;Yes, I have participated;No;No;No;No;Yes;4;3;1;1;1;1;1;1;1;1;1;2;1
Neither Good nor Bad (Fair);Well;Half of them;Sim;Região Sul;5;Female;54;Once a month;Somewhat Important;3;No, I have not participated;No;No;No;No;No;3;5;2;1;1;7;6;NA;7;1;1;5;1
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Norte;11;Male;43;Once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;3;7;5;4;3;7;7;3;3;1;4;7;5
Very Bad;Neither well nor poorly;All;Nao;Região Nordeste;11;Female;20;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;No;2;5;1;1;1;7;3;2;4;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Norte;11;Female;25;Once or twice a year;Somewhat Important;2;Yes, I have participated;No;No;No;No;Yes;3;5;3;3;2;5;5;5;4;3;4;5;4
Very Bad;Very poorly;All;Sim;Região Nordeste;5;Male;33;Once or twice a year;Very Important;12;Yes, I have participated;No;No;No;No;Yes;2;1;1;1;1;7;6;1;3;1;1;3;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;8;Female;27;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;No;4;6;4;5;5;6;5;4;4;4;4;3;3
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Nordeste;8;Female;30;Once or twice a year;Very Important;2;Yes, I have participated;No;No;No;No;Yes;3;5;1;1;1;2;7;1;1;1;2;7;1
Very Bad;Very poorly;All;Nao;Região Nordeste;0;Male;55;More than once a week;Very Important;1;No, I have not participated;No;No;No;No;No;1;2;5;5;2;7;6;4;3;2;1;1;1
Very Bad;Very poorly;All;Sim;Região Nordeste;3;Female;34;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;2;1;2;3;5;7;1;1;1;1;1;1
Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Male;20;Once or twice a year;Very Important;8;Yes, I have participated;No;No;No;No;No;3;7;1;1;1;7;7;1;4;1;1;1;1
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;11;Male;41;Once a week;Very Important;4;No, I have not participated;No;No;No;No;No;1;5;6;4;6;6;7;4;3;2;1;5;1
Good;Neither well nor poorly;More than half of them;Nao;Região Nordeste;1;Male;73;Once or twice a year;Very Important;9;No, I have not participated;No;No;No;No;No;3;1;1;1;2;7;5;1;3;1;5;3;1
Bad;Neither well nor poorly;More than half of them;Nao;Região Norte;11;Female;20;More than once a week;Very Important;9;Yes, I have participated;Yes;No;Yes;No;Yes;1;4;3;5;4;7;7;6;4;4;2;5;5
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;8;Female;21;Once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;1;2;1;1;2;1;2;1;1;1;1;3;1
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;9;Male;39;Once a month;Very Important;5;No, I have not participated;No;No;No;No;Yes;4;5;2;3;1;7;6;1;3;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sul;11;Female;21;Once or twice a year;Somewhat Important;10;No, I have not participated;No;No;No;No;No;4;4;3;1;4;4;5;1;4;3;2;5;6
Very Bad;Poorly;More than half of them;Sim;Região Sudeste;11;Female;31;Once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;2;3;2;2;1;3;4;2;3;1;1;3;1
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;11;Female;24;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;3;1;1;2;6;3;2;3;2;1;4;2
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Centro-Oeste;3;Male;65;Never or almost never;Very Important;NA;No, I have not participated;No;No;No;No;No;1;5;2;4;1;7;7;2;3;1;1;2;1
Bad;Poorly;More than half of them;Sim;Região Nordeste;11;Male;18;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;4;5;6;2;5;7;7;1;6;6;1;7;3
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Sudeste;11;Female;38;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;4;4;3;3;3;7;6;3;4;1;1;4;3
Good;Well;All;Sim;Região Norte;11;Female;36;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;2;1;4;7;1;7;3;1;1;2;2;4;3
Good;Poorly;All;Sim;Região Nordeste;11;Male;45;Never or almost never;Very Important;6;No, I have not participated;No;No;No;No;No;5;7;3;4;6;7;7;1;5;1;6;7;1
Very Bad;Neither well nor poorly;All;Nao;Região Norte;10;Female;20;Once or twice a year;Somewhat Important;8;No, I have not participated;Yes;No;No;Yes;Yes;3;4;5;4;6;2;7;5;3;2;1;6;4
Very Bad;Very poorly;More than half of them;Sim;Região Sul;11;Female;19;Once or twice a year;Somewhat Important;4;No, I have not participated;No;No;Yes;No;Yes;3;5;4;7;5;7;5;3;3;1;1;4;3
Very Bad;Poorly;All;Sim;Região Norte;11;Female;44;Once a month;Very Important;3;Yes, I have participated;No;No;No;No;Yes;1;1;1;1;2;7;6;1;7;1;1;4;1
Good;Poorly;More than half of them;Sim;Região Nordeste;2;Female;76;More than once a week;Very Important;8;No, I have not participated;No;No;No;No;No;7;6;4;1;7;7;7;7;1;1;1;1;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;10;Female;25;Never or almost never;Very Important;7;No, I have not participated;No;No;No;No;No;3;5;3;1;1;1;1;2;2;1;1;2;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Female;23;Once or twice a year;Very Important;1;No, I have not participated;No;No;No;No;No;4;4;3;3;3;7;5;4;3;2;1;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;8;Male;28;Never or almost never;Not Very Important;9;Yes, I have participated;No;No;No;No;No;5;5;1;1;6;7;7;4;7;3;4;5;7
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;9;Female;20;Once a month;Very Important;7;No, I have not participated;No;No;No;No;No;1;1;1;1;1;1;5;1;5;1;1;4;1
Bad;Very poorly;All;Sim;Região Norte;5;Female;43;More than once a week;Very Important;3;Yes, I have participated;No;Yes;Yes;No;Yes;3;1;1;1;2;7;7;1;1;1;1;5;1
Bad;Poorly;NA;Sim;Região Sul;9;Female;33;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;No;4;7;5;3;4;4;4;5;5;4;3;4;5
Good;Well;More than half of them;Sim;Região Sudeste;4;Male;54;More than once a week;Very Important;9;No, I have not participated;No;No;No;No;No;1;2;2;1;1;7;7;2;1;1;3;6;2
Very Bad;Poorly;All;Sim;Região Sudeste;7;Female;23;Once a month;Very Important;3;No, I have not participated;Yes;No;No;Yes;Yes;3;2;1;1;1;5;1;1;1;1;1;5;5
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;6;Male;45;Once a week;Very Important;16;No, I have not participated;Yes;No;No;No;Yes;5;6;3;4;3;7;6;3;4;3;3;5;3
Bad;Very poorly;More than half of them;Nao;Região Nordeste;10;Female;29;Never or almost never;Very Important;1;No, I have not participated;No;No;No;No;No;4;5;1;3;7;5;7;1;6;4;3;5;3
Very Bad;Very poorly;More than half of them;Sim;Região Nordeste;11;Male;33;Once or twice a year;Very Important;10;No, I have not participated;No;No;No;No;Yes;2;7;1;1;1;7;3;1;1;1;1;1;1
Bad;Neither well nor poorly;All;Sim;Região Sudeste;6;Male;43;Once a month;Very Important;12;No, I have not participated;No;No;No;No;No;1;3;1;1;1;7;7;1;4;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Norte;11;Female;28;Once a month;Not Very Important;4;No, I have not participated;No;No;No;No;No;5;2;4;5;2;7;6;6;6;3;4;6;6
Very Bad;Very poorly;All;Nao;Região Sudeste;4;Female;46;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;3;2;1;1;1;4;5;1;3;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Norte;11;Male;19;Never or almost never;Very Important;11;No, I have not participated;No;No;No;No;Yes;1;5;1;1;2;7;4;1;3;1;3;6;4
Neither Good nor Bad (Fair);Well;All;Sim;Região Nordeste;11;Female;18;Never or almost never;Very Important;1;No, I have not participated;No;No;No;No;No;5;7;3;2;4;7;6;3;7;2;6;6;4
Bad;Neither well nor poorly;Half of them;Sim;Região Norte;4;Female;58;Once a week;Very Important;9;No, I have not participated;No;No;No;No;No;1;1;1;7;1;7;6;2;3;1;1;5;1
Very Bad;Poorly;All;Nao;Região Sudeste;4;Female;61;More than once a week;Very Important;6;Yes, I have participated;No;No;No;No;No;1;4;2;2;1;6;5;1;1;1;1;2;1
Good;Neither well nor poorly;Less than half of them;Sim;Região Sudeste;4;Male;70;Once a month;Very Important;6;No, I have not participated;No;No;No;No;No;5;4;6;3;1;7;7;7;7;1;5;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Nordeste;5;Female;61;Once a week;Very Important;8;No, I have not participated;No;No;No;No;No;3;2;1;4;3;5;7;3;5;1;2;4;3
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Norte;7;Male;44;Once a week;Very Important;4;No, I have not participated;Yes;No;No;Yes;No;3;1;2;1;1;7;7;2;1;1;1;5;1
Good;Neither well nor poorly;Half of them;Sim;Região Centro-Oeste;13;Male;63;Never or almost never;Somewhat Important;2;No, I have not participated;No;No;No;No;No;4;1;1;2;1;7;7;5;6;1;5;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;11;Female;30;More than once a week;Very Important;6;No, I have not participated;No;No;Yes;No;No;2;7;2;1;7;2;5;2;7;2;3;1;7
Very Good;Very poorly;Less than half of them;Sim;Região Nordeste;1;Female;33;Once a month;Very Important;3;Yes, I have participated;No;No;Yes;No;No;7;5;5;7;4;7;7;6;7;5;4;6;7
Very Bad;Very poorly;All;Sim;Região Norte;8;Female;48;Once a month;Very Important;2;No, I have not participated;No;No;No;No;No;1;4;3;1;2;7;7;1;4;1;1;6;2
Very Bad;Very poorly;All;Sim;Região Norte;9;Male;30;Never or almost never;Very Important;3;No, I have not participated;No;No;Yes;No;No;7;4;2;1;1;7;4;5;1;1;1;4;5
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;5;Male;45;Once a month;Very Important;5;No, I have not participated;No;No;Yes;No;Yes;3;4;2;1;2;7;5;1;4;1;1;7;2
Bad;Well;More than half of them;Nao;Região Sudeste;9;Male;29;Once a month;Very Important;8;No, I have not participated;No;No;No;No;No;3;6;3;4;4;7;6;4;5;2;2;4;3
Very Bad;Very poorly;All;Sim;Região Sudeste;5;Male;48;Never or almost never;Very Important;7;No, I have not participated;No;No;No;No;No;3;4;2;4;2;6;7;2;6;1;1;5;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;5;Female;49;Once a week;Very Important;NA;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;1;NA;1;1;1;1;7;1
Very Bad;Very poorly;All;Nao;Região Sudeste;6;Female;40;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;7;7;5;6;5;7;6;7;7;5;7;7;4
Very Bad;Poorly;All;Sim;Região Norte;5;Female;71;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;No;5;5;4;5;6;7;7;6;7;4;1;7;5
Very Bad;Very poorly;More than half of them;Sim;Região Nordeste;12;Female;33;Once or twice a year;Somewhat Important;3;No, I have not participated;No;No;No;No;Yes;3;3;2;2;2;4;2;2;1;1;1;4;2
Very Bad;Very poorly;More than half of them;Nao;Região Centro-Oeste;17;Female;54;Once a week;Very Important;16;No, I have not participated;No;No;No;No;Yes;5;2;1;1;1;7;6;1;6;1;1;4;1
Very Bad;Very poorly;All;Nao;Região Nordeste;4;Male;78;Once a week;Very Important;12;No, I have not participated;No;No;No;No;No;3;7;7;7;1;7;7;2;7;1;1;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;11;Male;35;Never or almost never;Very Important;9;Yes, I have participated;No;No;No;No;Yes;4;4;3;3;3;7;6;2;5;4;2;5;4
Very Bad;Poorly;Half of them;Sim;Região Nordeste;3;Female;59;Once a month;Very Important;4;No, I have not participated;No;No;Yes;No;Yes;1;7;1;7;3;7;7;5;2;4;1;5;2
Very Bad;Very poorly;All;Sim;Região Nordeste;11;Male;26;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;6;7;3;1;1;7;7;2;7;3;1;6;1
Very Bad;Poorly;Half of them;Nao;Região Nordeste;10;Male;21;Never or almost never;Not Very Important;4;No, I have not participated;No;No;No;No;No;5;4;6;4;3;7;5;2;4;1;1;6;5
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Norte;4;Male;25;Never or almost never;Not Important at All;2;Yes, I have participated;No;No;Yes;No;Yes;4;7;7;6;7;7;5;7;5;6;6;6;6
