corrupcao,sexo2,idade1,rendaf,escola,Ljato,partido2,AvalTemer,denunciaTemer
Corrupcao,Feminino,57,1,1,Continuara_igual,1,6,Sim_deveria
Corrupcao,Masculino,27,1,2,Ira_aumentar,1,2,Sim_deveria
Corrupcao,Masculino,33,4,8,Ira_diminuir,0,2,Sim_deveria
Corrupcao,Masculino,75,1,2,Continuara_igual,1,8,Nao_deveria
Corrupcao,Masculino,74,1,1,Ira_diminuir,1,1,Sim_deveria
Corrupcao,Feminino,56,3,2,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,72,4,7,Ira_diminuir,1,5,Nao_deveria
Corrupcao,Feminino,20,1,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,60,2,3,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,47,2,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,27,2,5,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,22,1,5,Ira_diminuir,1,3,Sim_deveria
Incompetencia,Masculino,34,2,1,Continuara_igual,1,7,Sim_deveria
Corrupcao,Masculino,23,3,4,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Feminino,38,.,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,66,1,5,Ira_diminuir,1,5,Sim_deveria
Incompetencia,Feminino,26,1,5,Continuara_igual,1,2,Sim_deveria
Corrupcao,Feminino,63,1,2,Continuara_igual,1,7,.
Incompetencia,Masculino,67,1,2,Ira_aumentar,1,2,.
Incompetencia,Feminino,66,1,7,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Feminino,47,3,4,Continuara_igual,.,0,Sim_deveria
Incompetencia,Feminino,43,1,1,Continuara_igual,0,8,Sim_deveria
Incompetencia,Masculino,47,1,1,.,1,.,.
Corrupcao,Masculino,17,2,4,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,63,1,1,Ira_diminuir,1,.,.
Corrupcao,Feminino,17,1,4,Ira_diminuir,1,2,Sim_deveria
Incompetencia,Feminino,18,4,6,Continuara_igual,1,3,Sim_deveria
Incompetencia,Masculino,34,1,1,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,45,2,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,52,3,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,52,1,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,28,1,2,Continuara_igual,1,5,Nao_deveria
Incompetencia,Feminino,55,1,2,Ira_diminuir,0,6,Sim_deveria
Incompetencia,Masculino,26,1,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,17,1,4,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,39,1,2,Continuara_igual,0,4,Sim_deveria
Incompetencia,Masculino,65,1,2,Ira_aumentar,0,5,Nao_deveria
Corrupcao,Feminino,40,2,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,26,1,2,Continuara_igual,0,5,Sim_deveria
Corrupcao,Feminino,53,1,2,Ira_diminuir,1,3,Sim_deveria
Incompetencia,Masculino,30,1,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,30,1,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,27,1,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,27,1,4,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Masculino,34,2,6,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,24,1,5,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Feminino,22,4,5,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Masculino,25,1,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,51,2,2,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,53,1,1,Ira_diminuir,0,8,Sim_deveria
Corrupcao,Feminino,28,2,5,Continuara_igual,1,0,.
Incompetencia,Masculino,68,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,35,4,6,Continuara_igual,0,5,Sim_deveria
Corrupcao,Feminino,36,4,5,Continuara_igual,1,2,Sim_deveria
Incompetencia,Feminino,16,2,4,Continuara_igual,1,7,Nao_deveria
Corrupcao,Masculino,41,1,5,Ira_diminuir,1,1,Sim_deveria
Corrupcao,Feminino,60,2,5,Ira_aumentar,1,1,Sim_deveria
Corrupcao,Feminino,18,4,5,Continuara_igual,1,3,Sim_deveria
Incompetencia,Feminino,52,1,5,Ira_diminuir,1,1,Sim_deveria
Corrupcao,Masculino,54,1,2,Ira_diminuir,0,0,Sim_deveria
Corrupcao,Feminino,37,3,5,Ira_diminuir,1,1,Sim_deveria
Corrupcao,Masculino,57,1,2,Ira_diminuir,0,4,Sim_deveria
Incompetencia,Masculino,64,2,2,Continuara_igual,0,1,Sim_deveria
Incompetencia,Feminino,18,.,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,63,4,1,Ira_diminuir,.,9,Nao_deveria
Corrupcao,Feminino,64,3,4,Continuara_igual,1,0,Sim_deveria
Incompetencia,Feminino,38,1,5,Ira_aumentar,0,0,Sim_deveria
Corrupcao,Masculino,25,1,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,19,1,5,Continuara_igual,1,2,Sim_deveria
Incompetencia,Masculino,24,2,5,Continuara_igual,1,1,Sim_deveria
Corrupcao,Feminino,46,3,5,Ira_diminuir,1,7,Sim_deveria
Corrupcao,Masculino,53,5,5,Continuara_igual,0,7,Nao_deveria
Corrupcao,Feminino,52,1,3,Ira_diminuir,1,6,.
Corrupcao,Masculino,35,3,4,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,26,1,5,Ira_diminuir,0,10,Nao_deveria
Incompetencia,Feminino,19,3,5,Continuara_igual,0,0,Sim_deveria
Incompetencia,Masculino,58,4,6,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,71,2,1,Ira_diminuir,1,8,Nao_deveria
Corrupcao,Masculino,44,1,2,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,42,3,7,Ira_diminuir,1,7,Sim_deveria
Corrupcao,Masculino,62,1,3,Ira_diminuir,0,8,Sim_deveria
Incompetencia,Masculino,23,1,3,Continuara_igual,0,4,Sim_deveria
Incompetencia,Masculino,19,2,4,Continuara_igual,1,0,Nao_deveria
Incompetencia,Feminino,22,1,6,Continuara_igual,1,2,Sim_deveria
Incompetencia,Feminino,48,1,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Masculino,29,3,8,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,24,2,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,42,1,3,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,56,6,2,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,36,1,2,Ira_aumentar,1,0,Sim_deveria
Corrupcao,Masculino,54,.,5,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,16,3,4,Ira_diminuir,0,5,Sim_deveria
Corrupcao,Feminino,38,2,5,.,1,.,.
Corrupcao,Masculino,25,1,5,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Masculino,60,3,5,Ira_diminuir,0,5,Nao_deveria
Corrupcao,Masculino,75,4,5,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Masculino,70,1,1,Ira_aumentar,1,0,Nao_deveria
Corrupcao,Feminino,28,1,5,Ira_diminuir,1,3,Sim_deveria
Incompetencia,Masculino,20,2,5,Continuara_igual,1,3,Sim_deveria
Corrupcao,Feminino,34,1,5,Continuara_igual,0,0,Sim_deveria
Incompetencia,Masculino,75,4,5,Ira_aumentar,1,0,Sim_deveria
Corrupcao,Masculino,46,1,2,Ira_diminuir,1,4,Sim_deveria
Incompetencia,Masculino,27,2,5,Continuara_igual,1,3,Sim_deveria
Incompetencia,Masculino,33,1,2,Ira_diminuir,.,0,Sim_deveria
Corrupcao,Feminino,46,1,5,Ira_diminuir,1,3,Sim_deveria
Incompetencia,Masculino,37,1,2,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Masculino,43,2,2,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,31,1,5,Continuara_igual,0,3,Sim_deveria
Incompetencia,Masculino,37,1,2,Ira_diminuir,0,2,Sim_deveria
Incompetencia,Masculino,43,4,4,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Feminino,23,.,3,Ira_aumentar,1,4,Sim_deveria
Incompetencia,Masculino,24,2,5,Ira_diminuir,1,5,Sim_deveria
Incompetencia,Masculino,74,1,1,Continuara_igual,0,2,Sim_deveria
Corrupcao,Masculino,35,1,2,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Masculino,44,2,5,Continuara_igual,1,0,Nao_deveria
Corrupcao,Feminino,27,2,4,Ira_diminuir,.,0,Sim_deveria
Incompetencia,Masculino,26,3,6,Ira_diminuir,1,5,Sim_deveria
Incompetencia,Feminino,57,1,2,.,.,0,Sim_deveria
Incompetencia,Feminino,27,1,5,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,63,1,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,75,1,2,Continuara_igual,0,0,Sim_deveria
Incompetencia,Feminino,21,2,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,57,4,5,Continuara_igual,1,5,Sim_deveria
Corrupcao,Masculino,41,1,2,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,24,2,5,Ira_diminuir,1,3,Sim_deveria
Incompetencia,Feminino,38,1,5,Ira_diminuir,0,2,Sim_deveria
Corrupcao,Feminino,37,1,3,Ira_diminuir,1,9,Sim_deveria
Corrupcao,Masculino,59,1,1,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,87,1,2,Ira_aumentar,1,0,Sim_deveria
Corrupcao,Feminino,37,1,5,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,34,1,4,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,20,2,7,Continuara_igual,1,3,Sim_deveria
Incompetencia,Feminino,36,1,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,46,2,2,Ira_aumentar,1,5,.
Corrupcao,Feminino,42,2,2,Ira_aumentar,1,0,Sim_deveria
Corrupcao,Feminino,21,2,6,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Masculino,64,1,5,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Feminino,19,2,4,Continuara_igual,.,.,.
Corrupcao,Feminino,18,2,5,Ira_aumentar,1,2,Sim_deveria
Corrupcao,Masculino,56,2,2,Continuara_igual,0,6,Nao_deveria
.,Feminino,51,4,5,Continuara_igual,0,0,Sim_deveria
.,Masculino,21,1,5,Continuara_igual,1,8,Sim_deveria
Incompetencia,Feminino,17,1,3,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,33,2,3,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,18,1,5,Continuara_igual,1,0,Sim_deveria
Corrupcao,Feminino,44,5,7,Ira_diminuir,1,4,Sim_deveria
Corrupcao,Masculino,52,2,4,Continuara_igual,.,0,.
.,Feminino,37,1,5,.,1,5,.
Corrupcao,Masculino,33,3,7,Ira_diminuir,1,0,Sim_deveria
Corrupcao,Masculino,51,1,1,Continuara_igual,.,4,Sim_deveria
Corrupcao,Feminino,32,3,8,Continuara_igual,1,0,Sim_deveria
Corrupcao,Masculino,27,2,7,Continuara_igual,1,0,Sim_deveria
Incompetencia,Masculino,65,3,4,Ira_diminuir,1,7,Nao_deveria
Corrupcao,Feminino,27,2,3,Ira_diminuir,0,1,Sim_deveria
Incompetencia,Masculino,35,3,5,Ira_diminuir,1,7,Sim_deveria
Corrupcao,Feminino,21,1,5,Ira_diminuir,1,5,Sim_deveria
Corrupcao,Feminino,39,1,5,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Masculino,64,1,5,Continuara_igual,0,3,Sim_deveria
Corrupcao,Masculino,19,1,5,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Feminino,38,4,4,Continuara_igual,1,1,Sim_deveria
Corrupcao,Masculino,33,1,5,Ira_diminuir,1,2,Sim_deveria
Incompetencia,Masculino,44,2,2,Ira_diminuir,0,0,Sim_deveria
Incompetencia,Feminino,23,1,3,Continuara_igual,1,8,Sim_deveria
Corrupcao,Feminino,23,2,2,Ira_diminuir,0,5,Sim_deveria
Incompetencia,Masculino,16,1,4,Continuara_igual,0,0,Sim_deveria
Corrupcao,Feminino,42,1,4,Continuara_igual,0,1,Sim_deveria
Incompetencia,Feminino,56,3,7,Ira_diminuir,1,6,Sim_deveria
.,Feminino,48,1,2,Continuara_igual,1,0,Nao_deveria
Incompetencia,Feminino,41,1,5,.,1,0,Sim_deveria
Incompetencia,Feminino,42,3,5,Ira_diminuir,1,0,Sim_deveria
Incompetencia,Feminino,56,4,7,Ira_diminuir,1,1,Sim_deveria
Incompetencia,Masculino,29,1,6,Continuara_igual,0,2,Nao_deveria
Incompetencia,Masculino,62,1,2,Ira_diminuir,1,1,Sim_deveria
Corrupcao,Masculino,68,1,7,Ira_diminuir,0,5,.
Corrupcao,Masculino,61,3,2,Ira_diminuir,1,2,Sim_deveria
Corrupcao,Feminino,16,1,4,Ira_diminuir,0,6,Sim_deveria
Corrupcao,Masculino,19,3,6,Continuara_igual,0,2,Sim_deveria
Incompetencia,Masculino,25,1,2,Continuara_igual,1,4,Sim_deveria
Corrupcao,Feminino,26,.,5,Continuara_igual,0,3,Sim_deveria
